name,latitude,longitude,demand
Depot_IFC,22.28540,114.15770,0
Central_Star_Ferry,22.28665,114.15920,7
Lan_Kwai_Fong,22.28100,114.15580,8
SheungWan_MTR,22.28680,114.15100,5
Western_Market,22.28710,114.14770,6
SoHo_Staunton,22.28330,114.15310,4
Mid_Levels_Escalator,22.28150,114.15450,9
HK_City_Hall,22.28215,114.16175,7
Admiralty_MTR,22.27945,114.16470,5
Wan_Chai_MTR,22.27770,114.17320,6
Wanchai_Tai_Wong,22.27395,114.17080,8
HK_Convention_Centre,22.28330,114.17370,4
Pacific_Place,22.27695,114.16545,7
Hollywood_Road,22.28370,114.14910,5
ManMo_Temple,22.28370,114.15010,6
Tai_Ping_Shan_St,22.28425,114.14820,8
Queens_Pier_Site,22.28490,114.16040,5
Murray_Building,22.27905,114.15875,4
HK_Park,22.27775,114.16165,7
Caine_Road,22.28050,114.15170,6
Bonham_Strand,22.28635,114.14945,5
