name,latitude,longitude,demand
Depot_TapSeac,22.19800,113.54300,0
Senado_Sq,22.19440,113.54030,7
Grand_Lisboa,22.18980,113.54750,8
StPauls_Ruins,22.19720,113.54150,5
AMa_Temple,22.18650,113.53300,6
Camoes_Garden,22.20240,113.53800,4
Outer_Harbour,22.19490,113.55150,9
Sun_Yat_Sen_Park,22.20850,113.54480,7
SaoLazaro_Dist,22.20140,113.54300,5
Mong_Ha_Dist,22.20700,113.54600,6
Inner_Harbour,22.19080,113.53800,8
Iao_Hon_Dist,22.20650,113.53900,4
NAPE_District,22.18900,113.55300,7
Nam_Van_Lake,22.18800,113.54750,5
Macau_Tower,22.18450,113.54380,6
Border_Gate,22.21450,113.54550,8
Fishermans_Wharf,22.19690,113.55250,5
Lilau_Sq,22.19010,113.53780,4
Reservoir_Area,22.20950,113.54850,7
SaoDomingos,22.19510,113.54050,6
Avenida_Almeida,22.19550,113.54420,5
