name,latitude,longitude,demand
Depot,25.04780,121.51700,0
Stop_01,25.05315,121.52120,8
Stop_02,25.04265,121.51010,5
Stop_03,25.05080,121.51460,12
Stop_04,25.04510,121.52380,7
Stop_05,25.05750,121.51835,10
Stop_06,25.04020,121.51790,6
Stop_07,25.04895,121.52755,9
Stop_08,25.05420,121.50920,4
Stop_09,25.03780,121.52210,11
Stop_10,25.04170,121.52055,8
Stop_11,25.05680,121.52490,5
Stop_12,25.04345,121.51385,7
Stop_13,25.05975,121.51200,6
Stop_14,25.03935,121.51425,9
Stop_15,25.04610,121.51920,10
Stop_16,25.05530,121.52145,7
Stop_17,25.04875,121.50725,8
Stop_18,25.03680,121.51720,6
Stop_19,25.05195,121.51750,9
Stop_20,25.04420,121.52615,5
