city,instance_id,num_customers,total_demand,vehicle_capacity,num_vehicles,sampling_seed,status
macau,0,20,131,60,4,42,generated
macau,1,20,135,60,4,43,generated
macau,2,20,139,60,4,44,generated
macau,3,20,114,60,4,45,generated
macau,4,20,124,60,4,46,generated
macau,5,20,137,60,4,47,generated
macau,6,20,125,60,4,48,generated
macau,7,20,133,60,4,49,generated
macau,8,20,124,60,4,50,generated
macau,9,20,118,60,4,51,generated
macau,10,20,115,60,4,52,generated
macau,11,20,132,60,4,53,generated
macau,12,20,126,60,4,54,generated
macau,13,20,125,60,4,55,generated
macau,14,20,138,60,4,56,generated
macau,15,20,145,60,4,57,generated
macau,16,20,122,60,4,58,generated
macau,17,20,131,60,4,59,generated
macau,18,20,133,60,4,60,generated
macau,19,20,137,60,4,61,generated
macau,20,20,129,60,4,62,generated
macau,21,20,134,60,4,63,generated
macau,22,20,134,60,4,64,generated
macau,23,20,114,60,4,65,generated
macau,24,20,134,60,4,66,generated
macau,25,20,130,60,4,67,generated
macau,26,20,123,60,4,68,generated
macau,27,20,132,60,4,69,generated
macau,28,20,121,60,4,70,generated
macau,29,20,127,60,4,71,generated
hongkong,0,20,136,60,4,100042,generated
hongkong,1,20,126,60,4,100043,generated
hongkong,2,20,131,60,4,100044,generated
hongkong,3,20,132,60,4,100045,generated
hongkong,4,20,128,60,4,100046,generated
hongkong,5,20,110,60,4,100047,generated
hongkong,6,20,134,60,4,100048,generated
hongkong,7,20,128,60,4,100049,generated
hongkong,8,20,142,60,4,100050,generated
hongkong,9,20,119,60,4,100051,generated
hongkong,10,20,145,60,4,100052,generated
hongkong,11,20,129,60,4,100053,generated
hongkong,12,20,131,60,4,100054,generated
hongkong,13,20,131,60,4,100055,generated
hongkong,14,20,135,60,4,100056,generated
hongkong,15,20,131,60,4,100057,generated
hongkong,16,20,138,60,4,100058,generated
hongkong,17,20,133,60,4,100059,generated
hongkong,18,20,137,60,4,100060,generated
hongkong,19,20,130,60,4,100061,generated
hongkong,20,20,133,60,4,100062,generated
hongkong,21,20,128,60,4,100063,generated
hongkong,22,20,128,60,4,100064,generated
hongkong,23,20,118,60,4,100065,generated
hongkong,24,20,125,60,4,100066,generated
hongkong,25,20,130,60,4,100067,generated
hongkong,26,20,138,60,4,100068,generated
hongkong,27,20,126,60,4,100069,generated
hongkong,28,20,123,60,4,100070,generated
hongkong,29,20,133,60,4,100071,generated
