city,instance_id,node_id,role,osmid,lat,lon,x,y,demand,sampling_seed
hongkong,0,0,depot,598449869,22.2853937,114.1576274,114.1576274,22.2853937,0,100042
hongkong,0,1,customer,251083380,22.2793176,114.1550349,114.1550349,22.2793176,9,100042
hongkong,0,2,customer,988470348,22.2798156,114.1612377,114.1612377,22.2798156,4,100042
hongkong,0,3,customer,239990446,22.2769289,114.1580839,114.1580839,22.2769289,8,100042
hongkong,0,4,customer,1049673599,22.2857401,114.1498281,114.1498281,22.2857401,9,100042
hongkong,0,5,customer,1384359313,22.2807201,114.1644739,114.1644739,22.2807201,4,100042
hongkong,0,6,customer,1026550152,22.2761335,114.1691189,114.1691189,22.2761335,4,100042
hongkong,0,7,customer,253331259,22.2882261,114.1392205,114.1392205,22.2882261,9,100042
hongkong,0,8,customer,7629346721,22.2765124,114.1722291,114.1722291,22.2765124,8,100042
hongkong,0,9,customer,7637558829,22.2792447,114.155567,114.155567,22.2792447,6,100042
hongkong,0,10,customer,1034004768,22.2886521,114.1441214,114.1441214,22.2886521,5,100042
hongkong,0,11,customer,7041309927,22.2892309,114.1430188,114.1430188,22.2892309,7,100042
hongkong,0,12,customer,1384338211,22.2808196,114.1681819,114.1681819,22.2808196,8,100042
hongkong,0,13,customer,1905599115,22.2851888,114.1564481,114.1564481,22.2851888,6,100042
hongkong,0,14,customer,1613294132,22.2845578,114.1473846,114.1473846,22.2845578,7,100042
hongkong,0,15,customer,9739092969,22.2821354,114.1768563,114.1768563,22.2821354,5,100042
hongkong,0,16,customer,232216519,22.2744102,114.1739123,114.1739123,22.2744102,9,100042
hongkong,0,17,customer,6378290624,22.275639,114.17145,114.17145,22.275639,7,100042
hongkong,0,18,customer,356627248,22.27808,114.15314,114.15314,22.27808,8,100042
hongkong,0,19,customer,1615604173,22.2850718,114.1531099,114.1531099,22.2850718,9,100042
hongkong,0,20,customer,165999009,22.2778307,114.1747606,114.1747606,22.2778307,4,100042
hongkong,1,0,depot,598449869,22.2853937,114.1576274,114.1576274,22.2853937,0,100043
hongkong,1,1,customer,600716037,22.2800072,114.1645316,114.1645316,22.2800072,5,100043
hongkong,1,2,customer,6233473455,22.2815835,114.1618947,114.1618947,22.2815835,4,100043
hongkong,1,3,customer,1026550263,22.2752128,114.1678268,114.1678268,22.2752128,6,100043
hongkong,1,4,customer,1618530642,22.2774862,114.1762624,114.1762624,22.2774862,9,100043
hongkong,1,5,customer,984409307,22.2832095,114.1581971,114.1581971,22.2832095,8,100043
hongkong,1,6,customer,1613294148,22.284652,114.15104,114.15104,22.284652,9,100043
hongkong,1,7,customer,308217331,22.2761756,114.161813,114.161813,22.2761756,8,100043
hongkong,1,8,customer,165997863,22.278107,114.1663182,114.1663182,22.278107,6,100043
hongkong,1,9,customer,9244626581,22.2842764,114.1425971,114.1425971,22.2842764,7,100043
hongkong,1,10,customer,288361310,22.2744123,114.1741344,114.1741344,22.2744123,8,100043
hongkong,1,11,customer,308216802,22.2757135,114.1706321,114.1706321,22.2757135,7,100043
hongkong,1,12,customer,1613294207,22.2852201,114.1519636,114.1519636,22.2852201,6,100043
hongkong,1,13,customer,1026550204,22.2756834,114.1671928,114.1671928,22.2756834,8,100043
hongkong,1,14,customer,243845374,22.2806787,114.1743027,114.1743027,22.2806787,5,100043
hongkong,1,15,customer,279077932,22.281032,114.1563942,114.1563942,22.281032,5,100043
hongkong,1,16,customer,1680952438,22.2878189,114.1458394,114.1458394,22.2878189,6,100043
hongkong,1,17,customer,1034004980,22.2873446,114.1518559,114.1518559,22.2873446,5,100043
hongkong,1,18,customer,1922000260,22.2842037,114.1406634,114.1406634,22.2842037,4,100043
hongkong,1,19,customer,1618530611,22.2758372,114.1728766,114.1728766,22.2758372,4,100043
hongkong,1,20,customer,356278264,22.2780785,114.1595941,114.1595941,22.2780785,6,100043
hongkong,2,0,depot,598449869,22.2853937,114.1576274,114.1576274,22.2853937,0,100044
hongkong,2,1,customer,1613294211,22.2852241,114.1514296,114.1514296,22.2852241,6,100044
hongkong,2,2,customer,1685958975,22.2691282,114.1656145,114.1656145,22.2691282,9,100044
hongkong,2,3,customer,10863844107,22.287734,114.1400694,114.1400694,22.287734,4,100044
hongkong,2,4,customer,308234640,22.2869168,114.1422889,114.1422889,22.2869168,8,100044
hongkong,2,5,customer,1026550287,22.2744102,114.1721153,114.1721153,22.2744102,5,100044
hongkong,2,6,customer,286633618,22.28712,114.15223,114.15223,22.28712,7,100044
