solver,variant,distance_m,fuel_l,co2_kg,ar_feasible,infeasible_legs
OR-Tools,SE,26745.82,112.5443,301.6187,True,0
OR-Tools,SM,27398.28,115.3367,309.1024,True,0
OR-Tools,SR,20094.87,84.4155,226.2336,True,0
OR-Tools,AR,19276.56,80.9572,216.9654,True,0
GA,SE,29708.33,125.091,335.2438,True,0
GA,SM,27425.04,115.2577,308.8907,True,0
GA,SR,23923.87,100.6161,269.6512,True,0
GA,AR,22208.72,93.2967,250.0351,True,0
MatNet-CVRP,SE,26696.99,111.9243,299.9571,True,0
MatNet-CVRP,SM,26696.99,111.9243,299.9571,True,0
MatNet-CVRP,SR,27302.08,114.9363,308.0292,True,0
MatNet-CVRP,AR,25441.11,106.6609,285.8513,True,0
Vanilla-AM,SE,26159.77,109.9381,294.6341,True,0
Vanilla-AM,SM,24879.06,104.2742,279.4548,True,0
Vanilla-AM,SR,24319.29,102.1583,273.7841,True,0
Vanilla-AM,AR,25009.45,104.7635,280.7661,True,0
