solver,variant,distance_m,fuel_l,co2_kg,ar_feasible,infeasible_legs
OR-Tools,SE,27725.24,116.1454,311.2696,True,0
OR-Tools,SM,26821.12,112.4899,301.4729,True,0
OR-Tools,SR,27765.24,116.7658,312.9324,True,0
OR-Tools,AR,24204.0,101.674,272.4863,True,0
GA,SE,28265.28,118.7212,318.1728,True,0
GA,SM,30920.3,129.9804,348.3476,True,0
GA,SR,26533.3,111.4804,298.7674,True,0
GA,AR,26393.84,110.8325,297.0311,True,0
MatNet-CVRP,SE,30791.99,129.0713,345.9111,True,0
MatNet-CVRP,SM,29528.92,123.703,331.5239,True,0
MatNet-CVRP,SR,27943.41,116.924,313.3564,True,0
MatNet-CVRP,AR,26958.21,112.9027,302.5793,True,0
Vanilla-AM,SE,30320.72,127.0527,340.5013,True,0
Vanilla-AM,SM,30541.62,127.8977,342.7658,True,0
Vanilla-AM,SR,30042.05,125.8621,337.3104,True,0
Vanilla-AM,AR,29642.17,124.2713,333.0471,True,0
